date,workshop,production_line,product_type,production_equipment,production_equipment_name,usage_duration,equipment_failure,fault_handler,fault_module,damaged_part,damage_reason
2023-01-01,数控机械车间,数控-1,电视,SN-NC1-001,数控加工中心1号机,23.88797583752496,0,,,,
2023-01-01,数控机械车间,数控-1,电视,SN-NC1-002,数控车床1号机,23.628484845309263,0,,,,
2023-01-01,数控机械车间,数控-1,电视,SN-NC1-003,数控铣床1号机,23.095200589697587,0,,,,
2023-01-01,数控机械车间,数控-2,冰箱,SN-NC2-001,数控加工中心2号机,21.525123476040324,0,,,,
2023-01-01,数控机械车间,数控-2,冰箱,SN-NC2-002,数控车床2号机,20.530566090929618,0,,,,
2023-01-01,数控机械车间,数控-2,冰箱,SN-NC2-003,数控铣床2号机,20.701099709192945,0,,,,
2023-01-01,数控机械车间,数控-3,洗衣机,SN-NC3-001,数控加工中心3号机,21.520480261843748,0,,,,
2023-01-01,数控机械车间,数控-3,洗衣机,SN-NC3-002,数控车床3号机,21.58700482471323,0,,,,
2023-01-01,数控机械车间,数控-3,洗衣机,SN-NC3-003,数控铣床3号机,21.274793567561243,0,,,,
2023-01-01,装配车间,装配-1,电视,SN-AS1-001,装配流水线1号机,21.381970586307325,0,,,,
2023-01-01,装配车间,装配-1,电视,SN-AS1-002,装配机器人1号机,21.68560506684605,0,,,,
2023-01-01,装配车间,装配-1,电视,SN-AS1-003,装配检测设备1号机,23.4465653513576,0,,,,
2023-01-01,装配车间,装配-2,冰箱,SN-AS2-001,装配流水线2号机,21.434257131110257,0,,,,
2023-01-01,装配车间,装配-2,冰箱,SN-AS2-002,装配机器人2号机,20.23603023737463,0,,,,
2023-01-01,装配车间,装配-2,冰箱,SN-AS2-003,装配检测设备2号机,20.5150471085973,0,,,,
2023-01-01,装配车间,装配-3,洗衣机,SN-AS3-001,装配流水线3号机,22.44815877308054,0,,,,
2023-01-01,装配车间,装配-3,洗衣机,SN-AS3-002,装配机器人3号机,20.256658101263206,0,,,,
2023-01-01,装配车间,装配-3,洗衣机,SN-AS3-003,装配检测设备3号机,20.092868248959146,1,王五,机械部件,传送带,零件缺陷
2023-01-01,焊接车间,焊接-1,电视,SN-WD1-001,焊接机器人1号机,23.36941763550975,0,,,,
2023-01-01,焊接车间,焊接-1,电视,SN-WD1-002,焊接转台1号机,23.835201650122684,0,,,,
2023-01-01,焊接车间,焊接-1,电视,SN-WD1-003,焊接检测设备1号机,23.588982695115313,0,,,,
2023-01-01,焊接车间,焊接-2,冰箱,SN-WD2-001,焊接机器人2号机,21.110659694349657,0,,,,
2023-01-01,焊接车间,焊接-2,冰箱,SN-WD2-002,焊接转台2号机,20.053930900163337,0,,,,
2023-01-01,焊接车间,焊接-2,冰箱,SN-WD2-003,焊接检测设备2号机,23.56298268356767,0,,,,
2023-01-01,焊接车间,焊接-3,洗衣机,SN-WD3-001,焊接机器人3号机,23.919465542478285,0,,,,
2023-01-01,焊接车间,焊接-3,洗衣机,SN-WD3-002,焊接转台3号机,22.75349256439054,0,,,,
2023-01-01,焊接车间,焊接-3,洗衣机,SN-WD3-003,焊接检测设备3号机,23.410959420711304,0,,,,
2023-01-01,涂装车间,涂装-1,电视,SN-PT1-001,喷涂机器人1号机,21.656667020754586,0,,,,
2023-01-01,涂装车间,涂装-1,电视,SN-PT1-002,喷涂流水线1号机,20.918578268690737,1,王五,机械部件,泵,过载
2023-01-01,涂装车间,涂装-1,电视,SN-PT1-003,喷涂烘干炉1号机,22.72830463097765,0,,,,
2023-01-01,涂装车间,涂装-2,冰箱,SN-PT2-001,喷涂机器人2号机,21.818532051711557,0,,,,
2023-01-01,涂装车间,涂装-2,冰箱,SN-PT2-002,喷涂流水线2号机,22.308412012583176,0,,,,
2023-01-01,涂装车间,涂装-2,冰箱,SN-PT2-003,喷涂烘干炉2号机,21.6155723752021,0,,,,
2023-01-01,涂装车间,涂装-3,洗衣机,SN-PT3-001,喷涂机器人3号机,23.79290510810038,0,,,,
2023-01-01,涂装车间,涂装-3,洗衣机,SN-PT3-002,喷涂流水线3号机,21.440295069492997,0,,,,
2023-01-01,涂装车间,涂装-3,洗衣机,SN-PT3-003,喷涂烘干炉3号机,21.40684896901486,1,张三,其他,管路,过载
2023-01-01,总装车间,总装-1,电视,SN-FA1-001,总装流水线1号机,23.840876107256395,0,,,,
2023-01-01,总装车间,总装-1,电视,SN-FA1-002,总装检测设备1号机,23.66209399456816,0,,,,
2023-01-01,总装车间,总装-1,电视,SN-FA1-003,总装包装机1号机,21.143255544993174,0,,,,
2023-01-01,总装车间,总装-2,冰箱,SN-FA2-001,总装流水线2号机,22.998243212135907,0,,,,
2023-01-01,总装车间,总装-2,冰箱,SN-FA2-002,总装检测设备2号机,23.850175576212088,0,,,,
2023-01-01,总装车间,总装-2,冰箱,SN-FA2-003,总装包装机2号机,21.392089656679858,0,,,,
