date,workshop,production_line,product_type,production_equipment,production_equipment_name,production_quantity,good_quantity
2023-01-01,数控机械车间,数控-1,电视,SN-NC1-001,数控加工中心1号机,798,677
2023-01-01,数控机械车间,数控-1,电视,SN-NC1-002,数控车床1号机,549,461
2023-01-01,数控机械车间,数控-1,电视,SN-NC1-003,数控铣床1号机,664,548
2023-01-01,数控机械车间,数控-2,冰箱,SN-NC2-001,数控加工中心2号机,410,389
2023-01-01,数控机械车间,数控-2,冰箱,SN-NC2-002,数控车床2号机,701,598
2023-01-01,数控机械车间,数控-2,冰箱,SN-NC2-003,数控铣床2号机,702,593
2023-01-01,数控机械车间,数控-3,洗衣机,SN-NC3-001,数控加工中心3号机,597,503
2023-01-01,数控机械车间,数控-3,洗衣机,SN-NC3-002,数控车床3号机,595,474
2023-01-01,数控机械车间,数控-3,洗衣机,SN-NC3-003,数控铣床3号机,647,600
2023-01-01,装配车间,装配-1,电视,SN-AS1-001,装配流水线1号机,419,317
2023-01-01,装配车间,装配-1,电视,SN-AS1-002,装配机器人1号机,725,599
2023-01-01,装配车间,装配-1,电视,SN-AS1-003,装配检测设备1号机,518,378
2023-01-01,装配车间,装配-2,冰箱,SN-AS2-001,装配流水线2号机,551,451
2023-01-01,装配车间,装配-2,冰箱,SN-AS2-002,装配机器人2号机,773,713
2023-01-01,装配车间,装配-2,冰箱,SN-AS2-003,装配检测设备2号机,578,555
2023-01-01,装配车间,装配-3,洗衣机,SN-AS3-001,装配流水线3号机,401,259
2023-01-01,装配车间,装配-3,洗衣机,SN-AS3-002,装配机器人3号机,669,584
2023-01-01,装配车间,装配-3,洗衣机,SN-AS3-003,装配检测设备3号机,617,497
2023-01-01,焊接车间,焊接-1,电视,SN-WD1-001,焊接机器人1号机,556,471
2023-01-01,焊接车间,焊接-1,电视,SN-WD1-002,焊接转台1号机,693,619
2023-01-01,焊接车间,焊接-1,电视,SN-WD1-003,焊接检测设备1号机,647,631
2023-01-01,焊接车间,焊接-2,冰箱,SN-WD2-001,焊接机器人2号机,459,391
2023-01-01,焊接车间,焊接-2,冰箱,SN-WD2-002,焊接转台2号机,403,392
2023-01-01,焊接车间,焊接-2,冰箱,SN-WD2-003,焊接检测设备2号机,584,506
2023-01-01,焊接车间,焊接-3,洗衣机,SN-WD3-001,焊接机器人3号机,691,594
2023-01-01,焊接车间,焊接-3,洗衣机,SN-WD3-002,焊接转台3号机,686,596
2023-01-01,焊接车间,焊接-3,洗衣机,SN-WD3-003,焊接检测设备3号机,673,531
2023-01-01,涂装车间,涂装-1,电视,SN-PT1-001,喷涂机器人1号机,728,713
2023-01-01,涂装车间,涂装-1,电视,SN-PT1-002,喷涂流水线1号机,471,368
2023-01-01,涂装车间,涂装-1,电视,SN-PT1-003,喷涂烘干炉1号机,489,432
2023-01-01,涂装车间,涂装-2,冰箱,SN-PT2-001,喷涂机器人2号机,796,690
2023-01-01,涂装车间,涂装-2,冰箱,SN-PT2-002,喷涂流水线2号机,561,456
2023-01-01,涂装车间,涂装-2,冰箱,SN-PT2-003,喷涂烘干炉2号机,642,495
2023-01-01,涂装车间,涂装-3,洗衣机,SN-PT3-001,喷涂机器人3号机,404,346
2023-01-01,涂装车间,涂装-3,洗衣机,SN-PT3-002,喷涂流水线3号机,628,504
2023-01-01,涂装车间,涂装-3,洗衣机,SN-PT3-003,喷涂烘干炉3号机,407,359
2023-01-01,总装车间,总装-1,电视,SN-FA1-001,总装流水线1号机,740,640
2023-01-01,总装车间,总装-1,电视,SN-FA1-002,总装检测设备1号机,797,743
2023-01-01,总装车间,总装-1,电视,SN-FA1-003,总装包装机1号机,700,566
2023-01-01,总装车间,总装-2,冰箱,SN-FA2-001,总装流水线2号机,471,410
2023-01-01,总装车间,总装-2,冰箱,SN-FA2-002,总装检测设备2号机,590,531
2023-01-01,总装车间,总装-2,冰箱,SN-FA2-003,总装包装机2号机,472,470
2023-01-01,总装车间,总装-3,洗衣机,SN-FA3-001,总装流水线3号机,408,274
2023-01-01,总装车间,总装-3,洗衣机,SN-FA3-002,总装检测设备3号机,513,415
2023-01-01,总装车间,总装-3,洗衣机,SN-FA3-003,总装包装机3号机,602,469
2023-01-02,数控机械车间,数控-1,电视,SN-NC1-001,数控加工中心1号机,763,632
2023-01-02,数控机械车间,数控-1,电视,SN-NC1-002,数控车床1号机,729,670
2023-01-02,数控机械车间,数控-1,电视,SN-NC1-003,数控铣床1号机,609,473
2023-01-02,数控机械车间,数控-2,冰箱,SN-NC2-001,数控加工中心2号机,419,385
