data_id,data_name,start_time,end_time,data_source,create_time,update_time
1,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
2,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
3,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
4,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
5,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
6,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
7,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
8,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
9,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
10,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
11,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
12,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
13,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
14,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
15,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
16,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
17,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
18,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
19,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
20,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
21,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
22,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
23,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
24,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
25,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
26,峰段,08:00:00,11:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
27,峰段,18:00:00,23:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
28,平段,07:00:00,08:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
29,平段,11:00:00,18:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
30,谷段,23:00:00,07:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
31,峰段,08:00:00,11:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
32,峰段,18:00:00,23:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
33,平段,07:00:00,08:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
34,平段,11:00:00,18:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
35,谷段,23:00:00,07:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
36,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
37,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
38,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
39,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
40,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
41,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
42,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
43,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
44,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
45,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
46,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
47,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
48,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
49,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
50,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
51,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
52,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
53,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
54,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
55,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
56,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
57,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
58,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
59,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
60,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
61,峰段,08:00:00,11:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
62,峰段,18:00:00,23:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
63,平段,07:00:00,08:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
64,平段,11:00:00,18:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
65,谷段,23:00:00,07:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
66,峰段,08:00:00,11:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
67,峰段,18:00:00,23:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
68,平段,07:00:00,08:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
69,平段,11:00:00,18:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
70,谷段,23:00:00,07:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
71,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
72,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
73,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
74,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
75,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
76,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
77,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
78,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
79,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
80,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
81,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
82,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
83,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
84,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
85,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
86,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
87,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
88,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
89,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
90,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
91,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
92,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
93,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
94,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
95,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
96,峰段,08:00:00,11:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
97,峰段,18:00:00,23:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
98,平段,07:00:00,08:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
99,平段,11:00:00,18:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
100,谷段,23:00:00,07:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
101,峰段,08:00:00,11:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
102,峰段,18:00:00,23:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
103,平段,07:00:00,08:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
104,平段,11:00:00,18:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
105,谷段,23:00:00,07:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
106,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
107,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
108,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
109,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
110,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
111,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
112,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
113,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
114,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
115,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
116,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
117,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
118,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
119,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
120,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
121,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
122,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
123,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
124,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
125,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
126,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
127,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
128,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
129,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
130,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
131,峰段,08:00:00,11:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
132,峰段,18:00:00,23:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
133,平段,07:00:00,08:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
134,平段,11:00:00,18:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
135,谷段,23:00:00,07:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
136,峰段,08:00:00,11:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
137,峰段,18:00:00,23:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
138,平段,07:00:00,08:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
139,平段,11:00:00,18:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
140,谷段,23:00:00,07:00:00,行业报告,2025-04-16 13:07:52,2025-04-16 13:07:52
141,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
142,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
143,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
144,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
145,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
146,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
147,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
148,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
149,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
150,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
151,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
152,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
153,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
154,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
155,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
156,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
157,峰段,18:00:00,23:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
158,平段,07:00:00,08:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
159,平段,11:00:00,18:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
160,谷段,23:00:00,07:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
161,峰段,08:00:00,11:00:00,电网统计,2025-04-16 13:07:52,2025-04-16 13:07:52
