data_id,market_type,power_type,transaction_type,transaction_method,transaction_area,data_time,time_order,price_value,elec_value,data_source,create_time,update_time
1,非全量入市,绿电电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-01,1,372.47,382.26,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
2,非全量入市,绿电电量,电网代理购电,集中竞价(年度+月度),省间交易,2024-01-01,2,621.29,642.92,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
3,全量入市,常规电量,中长期,挂牌交易,省内交易,2024-01-01,3,461.78,930.02,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
4,非全量入市,绿电电量,电网代理购电,挂牌交易,省间交易,2024-01-01,4,297.88,365.21,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
5,非全量入市,绿电电量,电网代理购电,双边协商(年度+月度),省内交易,2024-01-01,5,373.4,836.12,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
6,全量入市,绿电电量,中长期,月内集中竞价,省内交易,2024-01-01,6,666.43,111.23,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
7,非全量入市,绿电电量,中长期,双边协商(年度+月度),省间交易,2024-01-01,7,460.56,547.38,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
8,非全量入市,常规电量,电网代理购电,滚动撮合,省间交易,2024-01-01,8,618.55,316.73,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
9,非全量入市,绿电电量,电网代理购电,挂牌交易,省间交易,2024-01-01,9,429.13,351.63,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
10,全量入市,常规电量,电网代理购电,滚动撮合,省内交易,2024-01-01,10,542.39,466.27,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
11,非全量入市,绿电电量,电网代理购电,滚动撮合,省间交易,2024-01-01,11,555.54,488.62,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
12,全量入市,绿电电量,电网代理购电,挂牌交易,省间交易,2024-01-01,12,418.37,841.99,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
13,全量入市,绿电电量,电网代理购电,挂牌交易,省间交易,2024-01-01,13,239.36,977.87,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
14,非全量入市,常规电量,电网代理购电,月内集中竞价,省内交易,2024-01-01,14,679.05,580.29,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
15,全量入市,绿电电量,电网代理购电,双边协商(年度+月度),省内交易,2024-01-01,15,585.58,783.04,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
16,非全量入市,常规电量,电网代理购电,挂牌交易,省间交易,2024-01-01,16,489.09,494.33,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
17,非全量入市,绿电电量,中长期,滚动撮合,省间交易,2024-01-01,17,346.15,652.18,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
